"time","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity","location","date","severity"
"2020/4/7 11:30",2,10,7,1,9,3,1,2020-04-07,4.68
"2020/4/6 14:15",9,3,5,9,5,1,1,2020-04-06,4.12
"2020/4/7 14:10",10,10,9,5,4,3,1,2020-04-07,5.76
"2020/4/8 1:45",9,10,7,1,10,3,1,2020-04-08,5.64
"2020/4/6 7:40",3,2,1,4,10,1,1,2020-04-06,2.8
"2020/4/9 11:05",2,5,1,10,1,3,1,2020-04-09,3.48
"2020/4/8 20:00",5,9,2,9,10,3,1,2020-04-08,5.4
"2020/4/7 7:50",10,7,4,8,10,2,1,2020-04-07,5.48
"2020/4/8 14:45",4,3,1,2,1,2,1,2020-04-08,2.12
"2020/4/6 11:15",1,4,4,8,8,0,1,2020-04-06,3
"2020/4/8 21:05",5,7,5,3,8,2,1,2020-04-08,4.16
"2020/4/10 15:30",8,6,8,3,3,2,1,2020-04-10,4.16
"2020/4/7 14:15",3,7,2,10,0,4,1,2020-04-07,4.24
"2020/4/9 8:05",5,3,1,7,10,1,1,2020-04-09,3.52
"2020/4/6 15:50",8,6,6,4,9,2,1,2020-04-06,4.76
"2020/4/9 14:00",4,9,3,8,2,4,1,2020-04-09,4.72
"2020/4/7 10:45",10,3,0,3,9,2,1,2020-04-07,3.8
"2020/4/6 22:00",1,7,3,3,3,3,1,2020-04-06,3.24
"2020/4/8 22:25",7,1,9,1,6,0,1,2020-04-08,2.88
"2020/4/6 2:25",8,10,5,7,4,4,1,2020-04-06,5.68
"2020/4/10 3:30",1,3,1,5,7,2,1,2020-04-10,2.84
"2020/4/6 0:35",2,10,3,5,5,4,1,2020-04-06,4.6
"2020/4/9 9:20",1,7,7,7,5,2,1,2020-04-09,4.04
"2020/4/7 8:25",1,8,1,10,3,4,1,2020-04-07,4.36
"2020/4/9 16:15",7,10,1,7,8,4,1,2020-04-09,5.56
"2020/4/10 19:30",5,8,7,3,10,2,1,2020-04-10,4.76
"2020/4/7 5:50",10,4,9,10,7,1,1,2020-04-07,5.2
"2020/4/8 21:10",0,5,4,2,10,1,1,2020-04-08,2.92
"2020/4/8 23:05",4,3,2,1,1,2,1,2020-04-08,2.12
"2020/4/8 20:40",1,6,10,10,10,1,1,2020-04-08,4.84
"2020/4/7 2:45",1,9,0,2,7,4,1,2020-04-07,3.88
"2020/4/10 18:20",6,6,10,10,5,1,1,2020-04-10,4.84
"2020/4/8 5:40",6,10,3,9,10,3,1,2020-04-08,5.76
"2020/4/10 5:35",0,2,2,5,4,1,1,2020-04-10,1.96
"2020/4/9 11:55",2,9,4,8,10,0,1,2020-04-09,3.96
"2020/4/7 11:40",3,3,0,8,0,3,1,2020-04-07,2.88
"2020/4/10 1:40",7,5,0,8,5,3,1,2020-04-10,4.2
"2020/4/7 23:35",9,7,10,2,10,1,1,2020-04-07,4.96
"2020/4/10 9:45",2,10,9,2,10,0,1,2020-04-10,3.96
"2020/4/8 21:45",10,9,10,10,10,2,1,2020-04-08,6.68
"2020/4/10 9:50",4,10,3,10,7,4,1,2020-04-10,5.68
"2020/4/9 11:05",9,0,8,10,10,0,1,2020-04-09,4.44
"2020/4/9 15:00",0,10,3,8,8,4,1,2020-04-09,5.08
"2020/4/8 12:10",6,7,0,4,10,3,1,2020-04-08,4.44
"2020/4/10 18:45",9,10,4,1,1,4,1,2020-04-10,4.6
"2020/4/9 5:15",2,1,4,1,6,0,1,2020-04-09,1.68
"2020/4/8 2:50",4,2,0,10,10,1,1,2020-04-08,3.52
"2020/4/9 0:45",7,5,2,0,10,2,1,2020-04-09,3.68
"2020/4/6 2:20",3,0,10,10,6,0,1,2020-04-06,3.48
"2020/4/7 12:10",0,5,5,10,9,1,1,2020-04-07,3.88
"2020/4/9 7:15",5,8,5,2,0,4,1,2020-04-09,4
"2020/4/7 10:50",4,9,8,10,2,1,1,2020-04-07,4.36
"2020/4/9 2:10",0,8,2,1,8,3,1,2020-04-09,3.48
"2020/4/8 3:25",2,2,7,7,6,0,1,2020-04-08,2.88
"2020/4/6 16:15",3,10,10,0,6,3,1,2020-04-06,4.68
"2020/4/7 11:50",1,5,3,10,10,2,1,2020-04-07,4.28
"2020/4/8 20:25",7,3,6,2,10,0,1,2020-04-08,3.36
"2020/4/8 22:55",10,1,1,9,3,1,1,2020-04-08,3.28
"2020/4/8 20:55",1,7,0,10,4,4,1,2020-04-08,4.24
"2020/4/9 6:25",3,3,2,3,4,2,1,2020-04-09,2.6
"2020/4/9 6:15",10,10,2,4,4,1,1,2020-04-09,4
"2020/4/8 3:45",4,8,5,9,1,3,1,2020-04-08,4.44
"2020/4/10 11:35",10,5,5,10,4,2,1,2020-04-10,4.88
"2020/4/7 20:05",1,10,1,10,10,4,1,2020-04-07,5.44
"2020/4/8 4:20",7,5,10,3,3,0,1,2020-04-08,3.36
"2020/4/10 11:00",4,1,2,0,8,0,1,2020-04-10,1.8
"2020/4/10 0:45",0,10,10,0,10,2,1,2020-04-10,4.4
"2020/4/9 12:30",10,9,8,6,10,2,1,2020-04-09,5.96
"2020/4/6 12:00",2,7,7,4,9,2,1,2020-04-06,4.28
"2020/4/10 14:20",10,10,3,3,2,5,1,2020-04-10,5.36
"2020/4/9 13:45",7,10,7,3,1,4,1,2020-04-09,4.96
"2020/4/10 23:50",4,2,3,1,7,1,1,2020-04-10,2.44
"2020/4/6 17:55",0,1,1,0,8,1,1,2020-04-06,1.6
"2020/4/10 8:10",2,0,0,7,3,1,1,2020-04-10,1.84
"2020/4/6 19:30",6,1,1,8,3,1,1,2020-04-06,2.68
"2020/4/9 1:50",9,0,0,10,9,0,1,2020-04-09,3.36
"2020/4/6 14:50",2,1,8,6,0,0,1,2020-04-06,2.04
"2020/4/10 5:45",4,1,8,10,7,0,1,2020-04-10,3.6
"2020/4/10 0:55",9,6,10,2,7,1,1,2020-04-10,4.48
"2020/4/8 20:20",9,8,5,8,5,3,1,2020-04-08,5.4
"2020/4/8 0:50",5,8,3,8,3,4,1,2020-04-08,4.84
"2020/4/6 8:20",4,10,10,9,10,2,1,2020-04-06,5.96
"2020/4/9 11:40",10,3,10,6,7,0,1,2020-04-09,4.32
"2020/4/8 6:25",4,2,3,4,8,1,1,2020-04-08,2.92
"2020/4/9 14:40",9,0,1,1,5,1,1,2020-04-09,2.32
"2020/4/10 8:00",10,7,0,8,5,4,1,2020-04-10,5.2
"2020/4/10 21:05",8,4,6,5,1,2,1,2020-04-10,3.68
"2020/4/10 6:40",1,6,1,4,7,3,1,2020-04-10,3.48
"2020/4/6 1:25",5,0,6,3,6,1,1,2020-04-06,2.8
"2020/4/7 19:10",7,5,9,10,1,2,1,2020-04-07,4.64
"2020/4/9 15:35",0,3,5,5,8,1,1,2020-04-09,2.92
"2020/4/6 20:35",10,3,10,7,10,0,1,2020-04-06,4.8
"2020/4/8 14:30",1,9,7,6,1,3,1,2020-04-08,4.08
"2020/4/6 6:30",10,10,0,10,2,0,1,2020-04-06,3.84
"2020/4/7 0:00",3,4,10,10,0,0,1,2020-04-07,3.24
"2020/4/6 2:15",9,9,1,6,2,4,1,2020-04-06,4.84
"2020/4/9 23:15",2,0,4,9,10,0,1,2020-04-09,3
"2020/4/7 2:50",8,6,9,3,10,1,1,2020-04-07,4.72
"2020/4/7 17:25",2,5,5,3,4,1,1,2020-04-07,2.68
"2020/4/10 15:20",4,3,1,2,4,2,1,2020-04-10,2.48
"2020/4/9 12:30",8,0,6,7,8,0,1,2020-04-09,3.48
"2020/4/6 3:50",2,0,10,3,4,0,1,2020-04-06,2.28
"2020/4/6 19:45",9,1,5,9,7,0,1,2020-04-06,3.72
"2020/4/9 2:35",8,2,4,9,5,1,1,2020-04-09,3.76
"2020/4/8 21:15",7,0,4,5,2,1,1,2020-04-08,2.56
"2020/4/7 4:35",10,10,4,9,3,4,1,2020-04-07,5.92
"2020/4/10 16:05",10,10,7,8,0,4,1,2020-04-10,5.8
"2020/4/9 1:40",8,2,2,3,7,1,1,2020-04-09,3.04
"2020/4/8 16:15",2,2,2,10,9,1,1,2020-04-08,3.4
"2020/4/8 22:45",3,9,6,10,10,2,1,2020-04-08,5.36
"2020/4/9 15:35",3,6,5,8,6,2,1,2020-04-09,4.16
"2020/4/7 13:25",6,7,10,5,9,1,1,2020-04-07,4.84
"2020/4/7 23:45",0,10,10,10,8,2,1,2020-04-07,5.36
"2020/4/7 1:10",10,8,10,9,1,3,1,2020-04-07,5.76
"2020/4/6 22:20",3,9,10,0,10,2,1,2020-04-06,4.64
"2020/4/10 17:20",6,10,3,7,7,4,1,2020-04-10,5.56
"2020/4/9 16:45",10,8,0,0,6,4,1,2020-04-09,4.48
"2020/4/8 10:50",3,2,8,1,8,0,1,2020-04-08,2.64
"2020/4/7 3:15",9,4,8,6,4,1,1,2020-04-07,4.12
"2020/4/7 6:30",6,7,1,6,3,1,1,2020-04-07,3.16
"2020/4/6 7:00",3,7,8,10,5,2,1,2020-04-06,4.76
"2020/4/8 4:10",2,10,7,10,10,0,1,2020-04-08,4.68
"2020/4/7 13:25",2,5,5,4,2,0,1,2020-04-07,2.16
"2020/4/9 11:35",2,10,7,10,0,4,1,2020-04-09,5.08
"2020/4/7 21:20",6,7,9,5,1,2,1,2020-04-07,4.16
"2020/4/6 21:35",4,10,4,7,4,4,1,2020-04-06,5.08
"2020/4/6 3:00",10,2,0,10,10,1,1,2020-04-06,4.24
"2020/4/6 8:05",6,4,7,10,0,2,1,2020-04-06,4.04
"2020/4/9 9:30",0,1,2,6,10,0,1,2020-04-09,2.28
"2020/4/8 6:25",4,1,3,0,5,1,1,2020-04-08,1.96
"2020/4/8 16:25",9,1,9,1,8,0,1,2020-04-08,3.36
"2020/4/10 11:35",2,7,5,10,3,3,1,2020-04-10,4.44
"2020/4/10 22:50",1,9,4,10,9,3,1,2020-04-10,5.16
"2020/4/7 2:00",6,0,0,10,1,1,1,2020-04-07,2.44
"2020/4/9 7:35",1,9,10,6,5,1,1,2020-04-09,4.12
"2020/4/7 7:35",7,10,10,6,10,2,1,2020-04-07,5.96
"2020/4/6 2:30",5,0,4,4,10,0,1,2020-04-06,2.76
"2020/4/9 19:00",6,2,5,2,10,0,1,2020-04-09,3
"2020/4/7 14:25",1,1,10,2,9,0,1,2020-04-07,2.76
"2020/4/7 22:00",10,4,8,10,0,2,1,2020-04-07,4.64
"2020/4/8 22:35",6,6,1,4,8,3,1,2020-04-08,4.2
"2020/4/10 3:45",6,0,4,10,10,0,1,2020-04-10,3.6
"2020/4/9 3:30",6,6,8,4,1,2,1,2020-04-09,3.8
"2020/4/10 8:45",6,6,0,3,6,1,1,2020-04-10,2.92
"2020/4/7 8:50",10,10,1,1,9,4,1,2020-04-07,5.32
"2020/4/9 23:45",2,2,1,0,7,1,1,2020-04-09,1.84
"2020/4/6 22:15",5,8,8,6,10,2,1,2020-04-06,5.24
"2020/4/10 18:20",2,6,9,6,1,2,1,2020-04-10,3.68
"2020/4/9 10:30",2,6,4,0,4,2,1,2020-04-09,2.72
"2020/4/7 1:50",3,5,9,9,10,0,1,2020-04-07,4.32
"2020/4/10 17:40",2,2,0,8,9,1,1,2020-04-10,2.92
"2020/4/9 15:40",9,5,3,9,8,2,1,2020-04-09,4.88
"2020/4/7 6:30",3,0,0,5,10,0,1,2020-04-07,2.16
"2020/4/7 1:35",8,10,7,2,10,3,1,2020-04-07,5.64
"2020/4/8 14:10",5,3,0,9,6,1,1,2020-04-08,3.16
"2020/4/6 3:05",4,9,8,8,7,3,1,2020-04-06,5.52
"2020/4/7 0:55",5,9,10,4,5,0,1,2020-04-07,3.96
"2020/4/8 3:00",10,7,1,4,7,3,1,2020-04-08,4.68
"2020/4/7 20:55",1,10,2,0,8,4,1,2020-04-07,4.12
"2020/4/8 7:40",10,10,8,10,10,3,1,2020-04-08,6.96
"2020/4/7 9:20",5,0,5,10,10,0,1,2020-04-07,3.6
"2020/4/8 22:25",8,10,8,2,10,3,1,2020-04-08,5.76
"2020/4/10 7:40",2,4,2,5,5,2,1,2020-04-10,2.96
"2020/4/6 14:05",9,1,1,7,1,2,1,2020-04-06,3.08
"2020/4/8 14:05",9,3,3,7,4,2,1,2020-04-08,3.92
"2020/4/6 15:50",5,5,5,1,7,2,1,2020-04-06,3.56
"2020/4/9 14:00",6,7,0,3,8,3,1,2020-04-09,4.08
"2020/4/7 23:30",4,6,2,2,7,2,1,2020-04-07,3.32
"2020/4/8 19:50",0,10,5,0,7,3,1,2020-04-08,3.84
"2020/4/6 22:00",8,10,8,3,9,1,1,2020-04-06,4.96
"2020/4/6 17:25",10,2,6,2,9,0,1,2020-04-06,3.48
"2020/4/8 10:35",5,7,2,2,0,4,1,2020-04-08,3.52
"2020/4/7 18:40",5,3,7,10,6,0,1,2020-04-07,3.72
"2020/4/10 16:50",5,4,7,2,3,1,1,2020-04-10,2.92
"2020/4/9 19:50",10,9,1,3,7,4,1,2020-04-09,5.2
"2020/4/9 17:50",1,7,10,5,2,2,1,2020-04-09,3.8
"2020/4/10 12:25",0,0,8,10,6,1,1,2020-04-10,3.28
"2020/4/6 10:00",0,0,4,1,3,0,1,2020-04-06,0.96
"2020/4/8 18:15",0,1,9,7,5,0,1,2020-04-08,2.64
"2020/4/8 22:10",0,8,10,10,8,2,1,2020-04-08,5.12
"2020/4/10 19:25",10,3,3,5,9,1,1,2020-04-10,4
"2020/4/7 11:05",0,5,3,10,5,2,1,2020-04-07,3.56
"2020/4/7 4:55",10,10,2,3,10,4,1,2020-04-07,5.8
"2020/4/6 12:00",7,0,9,10,0,0,1,2020-04-06,3.12
"2020/4/6 2:00",6,1,0,10,10,1,1,2020-04-06,3.64
"2020/4/10 15:35",3,10,10,9,6,3,1,2020-04-10,5.76
"2020/4/9 8:25",5,1,4,10,9,0,1,2020-04-09,3.48
"2020/4/9 22:15",4,3,6,3,10,0,1,2020-04-09,3.12
"2020/4/7 9:50",3,7,4,10,1,3,1,2020-04-07,4.2
"2020/4/8 22:20",4,9,3,0,4,4,1,2020-04-08,4
"2020/4/6 7:40",5,3,2,6,10,1,1,2020-04-06,3.52
"2020/4/8 10:15",10,7,3,3,7,3,1,2020-04-08,4.8
"2020/4/10 21:20",1,0,1,6,5,1,1,2020-04-10,1.96
"2020/4/10 9:10",3,2,1,10,2,2,1,2020-04-10,2.96
"2020/4/7 16:35",6,4,2,9,10,0,1,2020-04-07,3.72
"2020/4/10 19:25",7,10,10,5,6,3,1,2020-04-10,5.76
"2020/4/7 3:50",4,4,7,1,4,1,1,2020-04-07,2.8
"2020/4/10 17:55",0,6,2,9,10,2,1,2020-04-10,4.04
"2020/4/10 17:00",0,0,7,3,7,0,1,2020-04-10,2.04
"2020/4/9 23:55",7,1,0,10,3,2,1,2020-04-09,3.32
"2020/4/9 3:40",10,7,1,3,6,3,1,2020-04-09,4.44
"2020/4/10 8:55",3,6,8,9,10,1,1,2020-04-10,4.72
"2020/4/7 11:10",3,5,0,10,10,2,1,2020-04-07,4.16
"2020/4/10 5:50",0,5,10,7,7,1,1,2020-04-10,3.88
"2020/4/9 2:10",0,7,5,8,10,2,1,2020-04-09,4.4
"2020/4/6 1:35",9,10,2,4,0,5,1,2020-04-06,5
"2020/4/7 17:40",4,3,8,7,6,0,1,2020-04-07,3.36
"2020/4/6 17:45",4,10,0,10,4,5,1,2020-04-06,5.36
"2020/4/10 21:50",5,6,4,8,2,3,1,2020-04-10,4.2
"2020/4/8 9:25",8,8,0,9,10,3,1,2020-04-08,5.4
"2020/4/8 11:40",8,8,3,4,3,1,1,2020-04-08,3.52
"2020/4/9 4:45",0,2,8,1,2,1,1,2020-04-09,1.96
"2020/4/7 20:15",1,10,1,5,10,4,1,2020-04-07,4.84
"2020/4/6 16:25",5,1,10,10,0,0,1,2020-04-06,3.12
"2020/4/10 2:40",9,0,10,0,9,0,1,2020-04-10,3.36
"2020/4/6 22:45",9,8,6,3,5,3,1,2020-04-06,4.92
"2020/4/8 13:20",6,10,4,6,8,4,1,2020-04-08,5.68
"2020/4/7 2:55",1,7,6,3,1,3,1,2020-04-07,3.36
"2020/4/6 11:45",4,7,10,0,0,2,1,2020-04-06,3.32
"2020/4/10 7:30",0,0,9,3,9,0,1,2020-04-10,2.52
"2020/4/10 20:45",4,4,10,10,10,0,1,2020-04-10,4.56
"2020/4/10 19:20",7,10,10,6,5,3,1,2020-04-10,5.76
"2020/4/10 12:45",7,10,6,9,10,3,1,2020-04-10,6.24
"2020/4/9 20:55",10,8,10,5,10,1,1,2020-04-09,5.56
"2020/4/7 16:00",7,0,4,10,9,0,1,2020-04-07,3.6
"2020/4/6 9:45",6,4,7,1,10,0,1,2020-04-06,3.36
"2020/4/8 0:50",2,5,2,7,10,2,1,2020-04-08,3.92
"2020/4/7 3:50",6,7,9,10,2,2,1,2020-04-07,4.88
"2020/4/6 15:55",0,2,8,3,1,1,1,2020-04-06,2.08
"2020/4/6 6:25",10,4,0,4,10,1,1,2020-04-06,3.76
"2020/4/9 15:05",2,9,8,10,10,2,1,2020-04-09,5.48
"2020/4/6 1:20",10,7,6,7,3,3,1,2020-04-06,5.16
"2020/4/9 20:30",7,5,2,0,0,3,1,2020-04-09,2.88
"2020/4/6 17:40",7,0,6,3,10,0,1,2020-04-06,3.12
"2020/4/6 9:35",10,4,10,5,6,0,1,2020-04-06,4.2
"2020/4/6 10:45",2,9,9,6,0,3,1,2020-04-06,4.32
"2020/4/9 8:40",6,4,5,10,7,1,1,2020-04-09,4.24
"2020/4/7 5:25",1,0,3,10,9,0,1,2020-04-07,2.76
"2020/4/8 2:30",3,2,7,6,3,1,1,2020-04-08,2.92
"2020/4/8 18:55",7,5,10,7,10,0,1,2020-04-08,4.68
"2020/4/10 7:15",10,5,8,4,8,1,1,2020-04-10,4.6
"2020/4/9 15:15",0,3,3,10,4,2,1,2020-04-09,3.2
"2020/4/7 8:25",5,0,8,7,4,0,1,2020-04-07,2.88
"2020/4/6 15:45",4,0,8,2,5,0,1,2020-04-06,2.28
"2020/4/6 6:40",5,1,9,0,1,0,1,2020-04-06,1.92
"2020/4/7 12:10",5,9,9,1,6,2,1,2020-04-07,4.4
"2020/4/7 7:25",3,9,4,6,8,1,1,2020-04-07,4
"2020/4/8 6:45",10,2,10,5,6,1,1,2020-04-08,4.36
"2020/4/9 10:00",8,1,10,9,10,1,1,2020-04-09,4.96
"2020/4/9 11:30",0,0,4,4,1,0,1,2020-04-09,1.08
"2020/4/7 10:00",1,1,1,8,4,1,1,2020-04-07,2.2
"2020/4/7 21:35",5,6,0,7,4,3,1,2020-04-07,3.84
"2020/4/6 21:45",4,3,7,8,10,0,1,2020-04-06,3.84
"2020/4/9 22:40",1,4,6,6,9,1,1,2020-04-09,3.52
"2020/4/6 6:50",5,3,2,1,8,1,1,2020-04-06,2.68
"2020/4/9 11:40",0,6,1,4,6,3,1,2020-04-09,3.24
"2020/4/9 21:25",6,4,0,10,2,3,1,2020-04-09,3.84
"2020/4/9 21:15",8,2,6,8,3,1,1,2020-04-09,3.64
"2020/4/7 7:10",8,3,10,5,8,0,1,2020-04-07,4.08
"2020/4/7 20:50",6,6,1,1,0,4,1,2020-04-07,3.28
"2020/4/8 22:30",3,3,6,6,5,1,1,2020-04-08,3.16
"2020/4/7 8:45",4,3,7,10,8,1,1,2020-04-07,4.24
"2020/4/7 20:30",4,8,1,2,7,3,1,2020-04-07,3.84
"2020/4/6 23:40",10,1,5,10,5,0,1,2020-04-06,3.72
"2020/4/8 7:10",10,3,2,10,6,2,1,2020-04-08,4.52
"2020/4/6 5:20",10,10,0,7,5,0,1,2020-04-06,3.84
"2020/4/10 0:00",3,3,2,10,7,1,1,2020-04-10,3.4
"2020/4/6 9:15",6,1,6,10,10,0,1,2020-04-06,3.96
"2020/4/8 14:15",5,5,6,5,10,1,1,2020-04-08,4.12
"2020/4/7 12:50",10,3,3,7,4,1,1,2020-04-07,3.64
"2020/4/8 21:20",9,6,5,9,10,1,1,2020-04-08,5.08
"2020/4/10 19:10",8,10,4,6,10,3,1,2020-04-10,5.76
"2020/4/9 5:30",1,4,7,6,2,1,1,2020-04-09,2.8
"2020/4/6 4:15",3,8,3,3,6,3,1,2020-04-06,3.96
"2020/4/8 3:40",8,5,10,9,6,1,1,2020-04-08,4.96
"2020/4/8 13:10",10,7,2,9,8,3,1,2020-04-08,5.52
"2020/4/8 16:20",10,10,6,10,1,0,1,2020-04-08,4.44
"2020/4/9 9:45",1,10,9,3,0,4,1,2020-04-09,4.36
"2020/4/7 9:20",5,1,1,4,5,1,1,2020-04-07,2.32
"2020/4/6 15:30",8,10,10,4,0,3,1,2020-04-06,5.04
"2020/4/7 23:05",0,8,5,1,10,2,1,2020-04-07,3.68
"2020/4/10 18:45",3,2,1,3,1,2,1,2020-04-10,2
"2020/4/6 22:25",7,0,9,9,4,0,1,2020-04-06,3.48
"2020/4/10 12:30",1,0,3,5,10,0,1,2020-04-10,2.28
"2020/4/8 17:15",7,4,1,1,1,3,1,2020-04-08,2.88
"2020/4/8 6:50",8,2,10,9,9,0,1,2020-04-08,4.56
"2020/4/10 9:50",0,10,0,7,0,5,1,2020-04-10,4.04
"2020/4/8 7:00",7,1,7,5,3,0,1,2020-04-08,2.76
"2020/4/9 14:55",5,10,3,4,9,4,1,2020-04-09,5.32
"2020/4/7 23:55",10,2,9,10,3,1,1,2020-04-07,4.48
"2020/4/10 12:30",9,2,6,2,10,0,1,2020-04-10,3.48
"2020/4/9 10:50",9,3,4,0,0,2,1,2020-04-09,2.72
"2020/4/9 11:55",6,4,4,8,8,1,1,2020-04-09,4
"2020/4/7 15:20",8,10,3,7,2,5,1,2020-04-07,5.6
"2020/4/9 18:50",7,7,5,1,5,3,1,2020-04-09,4.2
"2020/4/9 4:20",5,5,4,1,4,2,1,2020-04-09,3.08
"2020/4/7 4:50",9,1,4,1,2,1,1,2020-04-07,2.44
"2020/4/6 19:15",1,10,9,9,4,3,1,2020-04-06,5.16
